0 , 5115 , 1 , 15043 , 20159 , 2048 x 2048 , compute-662-4
0 , 4629 , 1 , 15352 , 19982 , 2048 x 2048 , compute-662-4
0 , 4557 , 2 , 15436 , 19995 , 2048 x 2048 , compute-662-4
0 , 4646 , 1 , 14472 , 19119 , 2048 x 2048 , compute-662-4
0 , 4560 , 2 , 14796 , 19358 , 2048 x 2048 , compute-662-4
2 , 153729 , 2 , 6324 , 160056 , 2048 x 2048 , atomic
2 , 145401 , 2 , 8766 , 154169 , 2048 x 2048 , atomic
2 , 157659 , 2 , 7309 , 164970 , 2048 x 2048 , atomic
2 , 156629 , 2 , 6489 , 163120 , 2048 x 2048 , atomic
2 , 155532 , 2 , 6275 , 161809 , 2048 x 2048 , atomic
4 , 104239 , 1 , 4188 , 108428 , 2048 x 2048 , atomic
4 , 105171 , 1 , 4133 , 109306 , 2048 x 2048 , atomic
4 , 104555 , 1 , 4415 , 108971 , 2048 x 2048 , atomic
4 , 103798 , 2 , 3824 , 107624 , 2048 x 2048 , atomic
4 , 104368 , 1 , 4387 , 108756 , 2048 x 2048 , atomic
6 , 82157 , 2 , 3116 , 85275 , 2048 x 2048 , atomic
6 , 81940 , 2 , 3038 , 84981 , 2048 x 2048 , atomic
6 , 81928 , 1 , 2696 , 84626 , 2048 x 2048 , atomic
6 , 77301 , 19 , 3137 , 80457 , 2048 x 2048 , atomic
6 , 81648 , 2 , 2971 , 84621 , 2048 x 2048 , atomic
8 , 69574 , 1 , 2516 , 72091 , 2048 x 2048 , atomic
8 , 69106 , 1 , 1962 , 71069 , 2048 x 2048 , atomic
8 , 69730 , 2 , 2307 , 72039 , 2048 x 2048 , atomic
8 , 69435 , 1 , 2727 , 72164 , 2048 x 2048 , atomic
8 , 69027 , 1 , 2305 , 71333 , 2048 x 2048 , atomic
10 , 61494 , 2 , 2601 , 64097 , 2048 x 2048 , atomic
10 , 61542 , 1 , 2175 , 63718 , 2048 x 2048 , atomic
10 , 61418 , 2 , 2500 , 63920 , 2048 x 2048 , atomic
10 , 61632 , 1 , 2241 , 63874 , 2048 x 2048 , atomic
10 , 61353 , 1 , 2225 , 63579 , 2048 x 2048 , atomic
12 , 56306 , 1 , 2777 , 59084 , 2048 x 2048 , atomic
12 , 55854 , 2 , 2243 , 58099 , 2048 x 2048 , atomic
12 , 55717 , 1 , 2377 , 58095 , 2048 x 2048 , atomic
12 , 56307 , 1 , 3072 , 59380 , 2048 x 2048 , atomic
12 , 56096 , 1 , 3261 , 59358 , 2048 x 2048 , atomic
0 , 19652 , 3 , 59868 , 79523 , 4096 x 4096 , compute-662-4
0 , 19640 , 2 , 59841 , 79483 , 4096 x 4096 , compute-662-4
0 , 19632 , 3 , 60275 , 79910 , 4096 x 4096 , compute-662-4
0 , 19658 , 3 , 59050 , 78711 , 4096 x 4096 , compute-662-4
0 , 22816 , 3 , 59820 , 82639 , 4096 x 4096 , compute-662-4
2 , 616026 , 3 , 29662 , 645692 , 4096 x 4096 , atomic
2 , 635141 , 2 , 29635 , 664778 , 4096 x 4096 , atomic
2 , 637427 , 2 , 30559 , 667988 , 4096 x 4096 , atomic
2 , 575045 , 2 , 31022 , 606069 , 4096 x 4096 , atomic
2 , 630351 , 2 , 30608 , 660961 , 4096 x 4096 , atomic
4 , 422964 , 2 , 16470 , 439437 , 4096 x 4096 , atomic
4 , 419915 , 2 , 16230 , 436147 , 4096 x 4096 , atomic
4 , 420409 , 2 , 15887 , 436298 , 4096 x 4096 , atomic
4 , 424241 , 2 , 15976 , 440219 , 4096 x 4096 , atomic
4 , 417842 , 2 , 16000 , 433844 , 4096 x 4096 , atomic
6 , 328872 , 2 , 11185 , 340059 , 4096 x 4096 , atomic
6 , 328408 , 2 , 11205 , 339615 , 4096 x 4096 , atomic
6 , 332004 , 3 , 16910 , 348918 , 4096 x 4096 , atomic
6 , 330224 , 3 , 17230 , 347458 , 4096 x 4096 , atomic
6 , 327110 , 3 , 10913 , 338026 , 4096 x 4096 , atomic
8 , 276599 , 3 , 9548 , 286150 , 4096 x 4096 , atomic
8 , 276392 , 2 , 8943 , 285337 , 4096 x 4096 , atomic
8 , 276539 , 2 , 9200 , 285741 , 4096 x 4096 , atomic
8 , 277106 , 2 , 9166 , 286274 , 4096 x 4096 , atomic
8 , 276570 , 2 , 9249 , 285822 , 4096 x 4096 , atomic
10 , 244872 , 3 , 7754 , 252629 , 4096 x 4096 , atomic
10 , 243007 , 3 , 7373 , 250383 , 4096 x 4096 , atomic
10 , 248565 , 2 , 8038 , 256606 , 4096 x 4096 , atomic
10 , 245864 , 3 , 7927 , 253794 , 4096 x 4096 , atomic
10 , 246448 , 2 , 8214 , 254664 , 4096 x 4096 , atomic
12 , 222070 , 1 , 7351 , 229422 , 4096 x 4096 , atomic
12 , 224586 , 2 , 7538 , 232126 , 4096 x 4096 , atomic
12 , 221460 , 2 , 7580 , 229042 , 4096 x 4096 , atomic
12 , 222275 , 2 , 7415 , 229692 , 4096 x 4096 , atomic
12 , 223040 , 2 , 7799 , 230841 , 4096 x 4096 , atomic
0 , 81341 , 3 , 247727 , 329071 , 8192 x 8192 , compute-662-4
0 , 87604 , 3 , 251802 , 339409 , 8192 x 8192 , compute-662-4
0 , 77351 , 3 , 240084 , 317438 , 8192 x 8192 , compute-662-4
0 , 81748 , 2 , 236946 , 318696 , 8192 x 8192 , compute-662-4
0 , 96418 , 12 , 263993 , 360423 , 8192 x 8192 , compute-662-4
2 , 1929163 , 2 , 128880 , 2058045 , 8192 x 8192 , atomic
2 , 2547529 , 3 , 121461 , 2668993 , 8192 x 8192 , atomic
2 , 2516616 , 3 , 121296 , 2637915 , 8192 x 8192 , atomic
2 , 2452736 , 3 , 121610 , 2574349 , 8192 x 8192 , atomic
2 , 1336951 , 2 , 133755 , 1470708 , 8192 x 8192 , atomic
4 , 1665489 , 3 , 63000 , 1728492 , 8192 x 8192 , atomic
4 , 1681353 , 2 , 62967 , 1744322 , 8192 x 8192 , atomic
4 , 1651596 , 3 , 62509 , 1714108 , 8192 x 8192 , atomic
4 , 1667917 , 3 , 63369 , 1731289 , 8192 x 8192 , atomic
4 , 1664622 , 3 , 63168 , 1727793 , 8192 x 8192 , atomic
6 , 1316681 , 2 , 42937 , 1359621 , 8192 x 8192 , atomic
6 , 1310119 , 2 , 43147 , 1353268 , 8192 x 8192 , atomic
6 , 1310966 , 2 , 42586 , 1353554 , 8192 x 8192 , atomic
6 , 1308740 , 2 , 42400 , 1351142 , 8192 x 8192 , atomic
6 , 1307150 , 3 , 42589 , 1349742 , 8192 x 8192 , atomic
8 , 1110184 , 2 , 35276 , 1145462 , 8192 x 8192 , atomic
8 , 1040097 , 2 , 53345 , 1093445 , 8192 x 8192 , atomic
8 , 1110307 , 2 , 35378 , 1145687 , 8192 x 8192 , atomic
8 , 1104209 , 2 , 35004 , 1139215 , 8192 x 8192 , atomic
8 , 1103616 , 2 , 35167 , 1138785 , 8192 x 8192 , atomic
10 , 986066 , 2 , 27653 , 1013721 , 8192 x 8192 , atomic
10 , 982990 , 3 , 29164 , 1012157 , 8192 x 8192 , atomic
10 , 991822 , 3 , 28845 , 1020670 , 8192 x 8192 , atomic
10 , 986108 , 2 , 28267 , 1014377 , 8192 x 8192 , atomic
10 , 985140 , 2 , 28285 , 1013427 , 8192 x 8192 , atomic
12 , 899759 , 3 , 26554 , 926316 , 8192 x 8192 , atomic
12 , 890966 , 3 , 27577 , 918546 , 8192 x 8192 , atomic
12 , 898919 , 2 , 24358 , 923279 , 8192 x 8192 , atomic
12 , 894180 , 2 , 23597 , 917779 , 8192 x 8192 , atomic
12 , 907649 , 3 , 25096 , 932748 , 8192 x 8192 , atomic
