0 , 4660 , 2 , 15375 , 20037 , 2048 x 2048 , compute-662-1
0 , 4633 , 1 , 14945 , 19579 , 2048 x 2048 , compute-662-1
0 , 4615 , 2 , 15043 , 19661 , 2048 x 2048 , compute-662-1
0 , 4626 , 1 , 14794 , 19421 , 2048 x 2048 , compute-662-1
0 , 4605 , 2 , 15548 , 20155 , 2048 x 2048 , compute-662-1
0 , 4611 , 2 , 15237 , 19850 , 2048 x 2048 , compute-662-1
0 , 4598 , 1 , 15241 , 19840 , 2048 x 2048 , compute-662-1
0 , 4612 , 2 , 15113 , 19727 , 2048 x 2048 , compute-662-1
0 , 4589 , 1 , 15764 , 20354 , 2048 x 2048 , compute-662-1
0 , 4616 , 1 , 14810 , 19427 , 2048 x 2048 , compute-662-1
2 , 3215 , 1 , 8489 , 11705 , 2048 x 2048 , compute-662-1
2 , 3230 , 2 , 6646 , 9878 , 2048 x 2048 , compute-662-1
2 , 3192 , 2 , 6431 , 9625 , 2048 x 2048 , compute-662-1
2 , 3199 , 2 , 6147 , 9348 , 2048 x 2048 , compute-662-1
2 , 3152 , 1 , 6231 , 9384 , 2048 x 2048 , compute-662-1
2 , 3198 , 2 , 6434 , 9634 , 2048 x 2048 , compute-662-1
2 , 3191 , 2 , 6231 , 9424 , 2048 x 2048 , compute-662-1
2 , 3154 , 2 , 6127 , 9283 , 2048 x 2048 , compute-662-1
2 , 3205 , 2 , 6285 , 9492 , 2048 x 2048 , compute-662-1
2 , 3179 , 1 , 6141 , 9321 , 2048 x 2048 , compute-662-1
4 , 1975 , 2 , 3349 , 5326 , 2048 x 2048 , compute-662-1
4 , 1930 , 1 , 4283 , 6215 , 2048 x 2048 , compute-662-1
4 , 1950 , 1 , 3929 , 5880 , 2048 x 2048 , compute-662-1
4 , 1953 , 1 , 3454 , 5408 , 2048 x 2048 , compute-662-1
4 , 1989 , 2 , 3911 , 5902 , 2048 x 2048 , compute-662-1
4 , 1956 , 2 , 3758 , 5716 , 2048 x 2048 , compute-662-1
4 , 1951 , 2 , 3453 , 5407 , 2048 x 2048 , compute-662-1
4 , 1974 , 2 , 3971 , 5947 , 2048 x 2048 , compute-662-1
4 , 1926 , 2 , 3495 , 5423 , 2048 x 2048 , compute-662-1
4 , 1988 , 2 , 3769 , 5759 , 2048 x 2048 , compute-662-1
6 , 1570 , 2 , 2584 , 4156 , 2048 x 2048 , compute-662-1
6 , 1529 , 2 , 2661 , 4192 , 2048 x 2048 , compute-662-1
6 , 1517 , 1 , 2924 , 4442 , 2048 x 2048 , compute-662-1
6 , 1537 , 2 , 3120 , 4659 , 2048 x 2048 , compute-662-1
6 , 1505 , 1 , 3419 , 4925 , 2048 x 2048 , compute-662-1
6 , 1494 , 2 , 2929 , 4426 , 2048 x 2048 , compute-662-1
6 , 1521 , 2 , 3054 , 4577 , 2048 x 2048 , compute-662-1
6 , 1603 , 1 , 2748 , 4352 , 2048 x 2048 , compute-662-1
6 , 1513 , 2 , 2816 , 4331 , 2048 x 2048 , compute-662-1
6 , 1517 , 2 , 2914 , 4433 , 2048 x 2048 , compute-662-1
8 , 1635 , 2 , 2871 , 4508 , 2048 x 2048 , compute-662-1
8 , 1634 , 1 , 3084 , 4719 , 2048 x 2048 , compute-662-1
8 , 1630 , 1 , 2989 , 4621 , 2048 x 2048 , compute-662-1
8 , 1613 , 2 , 2079 , 3694 , 2048 x 2048 , compute-662-1
8 , 1335 , 1 , 3035 , 4371 , 2048 x 2048 , compute-662-1
8 , 1584 , 2 , 3232 , 4818 , 2048 x 2048 , compute-662-1
8 , 1620 , 2 , 2661 , 4283 , 2048 x 2048 , compute-662-1
8 , 1606 , 1 , 2260 , 3867 , 2048 x 2048 , compute-662-1
8 , 1611 , 2 , 2095 , 3708 , 2048 x 2048 , compute-662-1
8 , 1607 , 1 , 2592 , 4200 , 2048 x 2048 , compute-662-1
10 , 1516 , 2 , 2463 , 3981 , 2048 x 2048 , compute-662-1
10 , 1558 , 2 , 2161 , 3721 , 2048 x 2048 , compute-662-1
10 , 1646 , 1 , 2144 , 3791 , 2048 x 2048 , compute-662-1
10 , 1628 , 2 , 2204 , 3835 , 2048 x 2048 , compute-662-1
10 , 1645 , 1 , 2321 , 3967 , 2048 x 2048 , compute-662-1
10 , 1583 , 2 , 2651 , 4236 , 2048 x 2048 , compute-662-1
10 , 1672 , 2 , 2190 , 3864 , 2048 x 2048 , compute-662-1
10 , 1567 , 2 , 2264 , 3833 , 2048 x 2048 , compute-662-1
10 , 1566 , 1 , 2384 , 3951 , 2048 x 2048 , compute-662-1
10 , 1719 , 2 , 2316 , 4037 , 2048 x 2048 , compute-662-1
12 , 1636 , 2 , 2470 , 4108 , 2048 x 2048 , compute-662-1
12 , 1647 , 1 , 2411 , 4059 , 2048 x 2048 , compute-662-1
12 , 1578 , 2 , 2198 , 3778 , 2048 x 2048 , compute-662-1
12 , 1653 , 2 , 2177 , 3832 , 2048 x 2048 , compute-662-1
12 , 1603 , 1 , 2267 , 3871 , 2048 x 2048 , compute-662-1
12 , 1553 , 1 , 2375 , 3929 , 2048 x 2048 , compute-662-1
12 , 1642 , 2 , 2470 , 4114 , 2048 x 2048 , compute-662-1
12 , 1585 , 1 , 2084 , 3670 , 2048 x 2048 , compute-662-1
12 , 1639 , 1 , 2622 , 4262 , 2048 x 2048 , compute-662-1
12 , 1586 , 2 , 2385 , 3973 , 2048 x 2048 , compute-662-1
14 , 1484 , 1 , 2778 , 4263 , 2048 x 2048 , compute-662-1
14 , 1462 , 2 , 3189 , 4653 , 2048 x 2048 , compute-662-1
14 , 1416 , 2 , 2933 , 4351 , 2048 x 2048 , compute-662-1
14 , 1454 , 2 , 3100 , 4556 , 2048 x 2048 , compute-662-1
14 , 1460 , 1 , 2770 , 4231 , 2048 x 2048 , compute-662-1
14 , 1522 , 2 , 2912 , 4437 , 2048 x 2048 , compute-662-1
14 , 1493 , 2 , 3007 , 4502 , 2048 x 2048 , compute-662-1
14 , 1595 , 2 , 2566 , 4164 , 2048 x 2048 , compute-662-1
14 , 1465 , 2 , 2484 , 3951 , 2048 x 2048 , compute-662-1
14 , 1462 , 1 , 3050 , 4513 , 2048 x 2048 , compute-662-1
16 , 1924 , 2 , 3132 , 5058 , 2048 x 2048 , compute-662-1
16 , 1703 , 1 , 2658 , 4362 , 2048 x 2048 , compute-662-1
16 , 1674 , 2 , 2405 , 4081 , 2048 x 2048 , compute-662-1
16 , 1623 , 2 , 3434 , 5059 , 2048 x 2048 , compute-662-1
16 , 1712 , 1 , 2562 , 4275 , 2048 x 2048 , compute-662-1
16 , 1705 , 1 , 4385 , 6091 , 2048 x 2048 , compute-662-1
16 , 1790 , 1 , 2650 , 4441 , 2048 x 2048 , compute-662-1
16 , 2096 , 1 , 2250 , 4348 , 2048 x 2048 , compute-662-1
16 , 1744 , 1 , 3768 , 5514 , 2048 x 2048 , compute-662-1
16 , 1741 , 1 , 2068 , 3811 , 2048 x 2048 , compute-662-1
18 , 1552 , 2 , 2667 , 4221 , 2048 x 2048 , compute-662-1
18 , 1559 , 2 , 3047 , 4608 , 2048 x 2048 , compute-662-1
18 , 1517 , 2 , 3642 , 5161 , 2048 x 2048 , compute-662-1
18 , 1508 , 1 , 3157 , 4666 , 2048 x 2048 , compute-662-1
18 , 1528 , 2 , 3705 , 5235 , 2048 x 2048 , compute-662-1
18 , 1635 , 2 , 2655 , 4292 , 2048 x 2048 , compute-662-1
18 , 1538 , 2 , 2980 , 4520 , 2048 x 2048 , compute-662-1
18 , 1533 , 2 , 3232 , 4767 , 2048 x 2048 , compute-662-1
18 , 1563 , 1 , 3398 , 4962 , 2048 x 2048 , compute-662-1
18 , 1554 , 1 , 3214 , 4770 , 2048 x 2048 , compute-662-1
20 , 1558 , 2 , 3252 , 4812 , 2048 x 2048 , compute-662-1
20 , 1726 , 2 , 2759 , 4487 , 2048 x 2048 , compute-662-1
20 , 1546 , 2 , 3404 , 4952 , 2048 x 2048 , compute-662-1
20 , 1561 , 2 , 3380 , 4943 , 2048 x 2048 , compute-662-1
20 , 1569 , 2 , 3736 , 5307 , 2048 x 2048 , compute-662-1
20 , 1555 , 2 , 3477 , 5034 , 2048 x 2048 , compute-662-1
20 , 1591 , 2 , 3283 , 4876 , 2048 x 2048 , compute-662-1
20 , 1567 , 1 , 3191 , 4759 , 2048 x 2048 , compute-662-1
20 , 1563 , 1 , 3430 , 4994 , 2048 x 2048 , compute-662-1
20 , 1571 , 1 , 4031 , 5603 , 2048 x 2048 , compute-662-1
22 , 1633 , 2 , 3876 , 5512 , 2048 x 2048 , compute-662-1
22 , 1631 , 2 , 3787 , 5420 , 2048 x 2048 , compute-662-1
22 , 1742 , 1 , 3174 , 4917 , 2048 x 2048 , compute-662-1
22 , 1655 , 1 , 3693 , 5349 , 2048 x 2048 , compute-662-1
22 , 1684 , 2 , 3729 , 5415 , 2048 x 2048 , compute-662-1
22 , 1706 , 1 , 3416 , 5123 , 2048 x 2048 , compute-662-1
22 , 1643 , 2 , 3780 , 5425 , 2048 x 2048 , compute-662-1
22 , 1647 , 2 , 3859 , 5508 , 2048 x 2048 , compute-662-1
22 , 1654 , 1 , 3814 , 5469 , 2048 x 2048 , compute-662-1
22 , 1655 , 2 , 3793 , 5450 , 2048 x 2048 , compute-662-1
24 , 1649 , 2 , 3756 , 5407 , 2048 x 2048 , compute-662-1
24 , 1602 , 2 , 3725 , 5329 , 2048 x 2048 , compute-662-1
24 , 1704 , 2 , 3946 , 5653 , 2048 x 2048 , compute-662-1
24 , 1666 , 2 , 4200 , 5868 , 2048 x 2048 , compute-662-1
24 , 1668 , 2 , 3869 , 5540 , 2048 x 2048 , compute-662-1
24 , 1640 , 2 , 4023 , 5666 , 2048 x 2048 , compute-662-1
24 , 1691 , 2 , 3961 , 5654 , 2048 x 2048 , compute-662-1
24 , 1650 , 2 , 4403 , 6055 , 2048 x 2048 , compute-662-1
24 , 1686 , 2 , 3982 , 5670 , 2048 x 2048 , compute-662-1
24 , 1652 , 2 , 3800 , 5454 , 2048 x 2048 , compute-662-1
0 , 19733 , 2 , 62803 , 82538 , 4096 x 4096 , compute-662-1
0 , 19759 , 3 , 61264 , 81026 , 4096 x 4096 , compute-662-1
0 , 19749 , 3 , 61404 , 81156 , 4096 x 4096 , compute-662-1
0 , 19775 , 3 , 60683 , 80461 , 4096 x 4096 , compute-662-1
0 , 19736 , 3 , 61420 , 81159 , 4096 x 4096 , compute-662-1
0 , 19783 , 2 , 61644 , 81429 , 4096 x 4096 , compute-662-1
0 , 19735 , 3 , 60919 , 80658 , 4096 x 4096 , compute-662-1
0 , 19788 , 2 , 61534 , 81324 , 4096 x 4096 , compute-662-1
0 , 19742 , 3 , 60709 , 80454 , 4096 x 4096 , compute-662-1
0 , 19763 , 2 , 60668 , 80434 , 4096 x 4096 , compute-662-1
2 , 13545 , 3 , 30415 , 43963 , 4096 x 4096 , compute-662-1
2 , 13541 , 2 , 30233 , 43776 , 4096 x 4096 , compute-662-1
2 , 13549 , 2 , 30793 , 44344 , 4096 x 4096 , compute-662-1
2 , 13539 , 2 , 31177 , 44718 , 4096 x 4096 , compute-662-1
2 , 13539 , 3 , 30404 , 43946 , 4096 x 4096 , compute-662-1
2 , 13551 , 3 , 30868 , 44422 , 4096 x 4096 , compute-662-1
2 , 13494 , 3 , 29651 , 43148 , 4096 x 4096 , compute-662-1
2 , 13582 , 3 , 30479 , 44064 , 4096 x 4096 , compute-662-1
2 , 13566 , 2 , 31094 , 44662 , 4096 x 4096 , compute-662-1
2 , 13516 , 3 , 30597 , 44117 , 4096 x 4096 , compute-662-1
4 , 8271 , 2 , 16454 , 24727 , 4096 x 4096 , compute-662-1
4 , 8185 , 2 , 16150 , 24337 , 4096 x 4096 , compute-662-1
4 , 8184 , 3 , 15597 , 23784 , 4096 x 4096 , compute-662-1
4 , 8246 , 3 , 15751 , 24000 , 4096 x 4096 , compute-662-1
4 , 8219 , 3 , 15757 , 23980 , 4096 x 4096 , compute-662-1
4 , 7090 , 3 , 16556 , 23649 , 4096 x 4096 , compute-662-1
4 , 8231 , 3 , 16087 , 24321 , 4096 x 4096 , compute-662-1
4 , 8150 , 2 , 16417 , 24569 , 4096 x 4096 , compute-662-1
4 , 7778 , 2 , 16251 , 24031 , 4096 x 4096 , compute-662-1
4 , 7789 , 2 , 15675 , 23466 , 4096 x 4096 , compute-662-1
6 , 5417 , 3 , 10690 , 16111 , 4096 x 4096 , compute-662-1
6 , 6491 , 2 , 11148 , 17641 , 4096 x 4096 , compute-662-1
6 , 6522 , 2 , 11153 , 17677 , 4096 x 4096 , compute-662-1
6 , 6676 , 2 , 11315 , 17993 , 4096 x 4096 , compute-662-1
6 , 6489 , 2 , 11094 , 17585 , 4096 x 4096 , compute-662-1
6 , 6628 , 2 , 11110 , 17740 , 4096 x 4096 , compute-662-1
6 , 6673 , 3 , 11454 , 18131 , 4096 x 4096 , compute-662-1
6 , 8498 , 3 , 17579 , 26080 , 4096 x 4096 , compute-662-1
6 , 5962 , 2 , 10697 , 16661 , 4096 x 4096 , compute-662-1
6 , 6489 , 2 , 11110 , 17601 , 4096 x 4096 , compute-662-1
8 , 7042 , 2 , 9615 , 16659 , 4096 x 4096 , compute-662-1
8 , 7058 , 3 , 8874 , 15935 , 4096 x 4096 , compute-662-1
8 , 7053 , 2 , 9349 , 16405 , 4096 x 4096 , compute-662-1
8 , 6799 , 2 , 9554 , 16355 , 4096 x 4096 , compute-662-1
8 , 6883 , 2 , 8854 , 15739 , 4096 x 4096 , compute-662-1
8 , 6867 , 2 , 8807 , 15676 , 4096 x 4096 , compute-662-1
8 , 10196 , 2 , 12760 , 22959 , 4096 x 4096 , compute-662-1
8 , 6684 , 3 , 9158 , 15845 , 4096 x 4096 , compute-662-1
8 , 6703 , 2 , 9836 , 16541 , 4096 x 4096 , compute-662-1
8 , 7028 , 2 , 8903 , 15933 , 4096 x 4096 , compute-662-1
10 , 6251 , 2 , 7902 , 14156 , 4096 x 4096 , compute-662-1
10 , 6325 , 3 , 7710 , 14038 , 4096 x 4096 , compute-662-1
10 , 6476 , 2 , 8074 , 14552 , 4096 x 4096 , compute-662-1
10 , 6366 , 3 , 7357 , 13726 , 4096 x 4096 , compute-662-1
10 , 6426 , 3 , 8067 , 14496 , 4096 x 4096 , compute-662-1
10 , 5718 , 2 , 7599 , 13319 , 4096 x 4096 , compute-662-1
10 , 6516 , 3 , 7721 , 14240 , 4096 x 4096 , compute-662-1
10 , 6311 , 3 , 8061 , 14375 , 4096 x 4096 , compute-662-1
10 , 5815 , 3 , 7819 , 13638 , 4096 x 4096 , compute-662-1
10 , 6197 , 2 , 7669 , 13868 , 4096 x 4096 , compute-662-1
12 , 6348 , 2 , 7292 , 13642 , 4096 x 4096 , compute-662-1
12 , 6465 , 2 , 7122 , 13589 , 4096 x 4096 , compute-662-1
12 , 6618 , 3 , 7239 , 13860 , 4096 x 4096 , compute-662-1
12 , 6571 , 2 , 7276 , 13850 , 4096 x 4096 , compute-662-1
12 , 5764 , 2 , 7409 , 13175 , 4096 x 4096 , compute-662-1
12 , 6581 , 2 , 6864 , 13447 , 4096 x 4096 , compute-662-1
12 , 6351 , 3 , 7119 , 13473 , 4096 x 4096 , compute-662-1
12 , 6654 , 3 , 7292 , 13949 , 4096 x 4096 , compute-662-1
